0.89086,0.64088,1.7925
0.039423,0.5993,0.92165
0.67761,0.60486,1.7564
0.89663,0.90024,1.7909
0.16383,0.24267,1.2704
0.33941,0.35446,0.35942
0.45206,0.93743,0.93848
0.79634,0.82733,0.48894
0.40178,0.18827,0.97434
0.87865,1.0926,1.2336
0.14821,0.011039,0.88992
0.68733,0.059025,0.10823
0.851,0.68014,0.94147
0.088385,0.4217,0.82532
0.72646,0.96648,0.81339
0.0011514,0.35351,1.2514
0.31794,0.95656,0.013787
0.34745,0.26318,0.47088
0.34949,0.98395,1.7987
0.67753,0.071598,0.40327
0.63932,0.55641,0.81899
0.22694,0.016723,1.3643
0.43523,0.16085,0.9021
0.21985,0.68999,1.498
0.48556,1.0068,1.7001
0.588,0.5674,0.89905
0.12853,0.18366,1.3462
0.87837,0.7391,0.27524
0.35699,0.24218,0.036539
0.31662,0.092221,0.83309
0.79292,0.5648,0.62642
0.89264,0.71344,1.7343
0.24089,1.19,1.5272
0.54379,0.11915,0.19179
0.45366,0.70196,0.63229
0.73589,0.47127,0.38536
0.42934,0.02082,0.29371
0.081324,0.53841,1.3721
0.16896,0.3809,0.93878
0.37292,0.81941,1.6114
0.5617,1.0184,0.23465
0.60489,0.56058,1.4962
0.71358,0.44237,1.3883
0.068618,0.12156,0.5617
0.35294,0.9259,0.384
0.62935,0.47867,0.25216
0.10284,0.69147,0.66472
0.036918,0.24196,0.99046
0.37532,0.37879,0.68299
0.24231,0.59354,0.14078
0.88499,0.055284,1.644
0.13403,0.71075,0.89516
0.016091,0.86492,0.48842
0.42833,0.84743,1.7185
0.37754,1,1.1886
0.59352,1.1843,1.7778
0.61492,1.0981,1.2261
0.60714,0.70696,0.63945
0.47075,0.81038,0.8027
0.68909,0.7121,1.0839
0.47061,0.25638,0.29226
0.38921,0.60028,0.84061
0.77421,0.10066,0.72641
0.66005,0.22031,0.53071
0.3529,0.26696,1.6887
0.21948,0.40672,0.91315
0.12503,0.30651,1.6049
0.84395,0.052825,0.67397
0.068996,0.55033,1.5306
0.12649,0.50217,1.7489
0.56773,0.10986,0.22134
0.072138,0.9393,0.54775
0.11276,0.12901,0.97766
0.78548,0.60232,0.76748
0.22547,0.075998,0.17153
0.31744,1.1075,0.69262
0.46561,0.97726,0.18515
0.23645,0.7552,0.27056
0.45002,0.72971,0.24366
0.048868,0.66241,1.4885
0.87371,0.43285,1.0614
0.54391,0.58322,0.16018
0.47967,0.27758,0.14389
0.29463,0.75772,1.6728
0.38177,0.045092,0.55481
0.14951,1.1995,1.1509
0.034498,0.31669,0.014296
0.63453,0.18994,0.29091
0.39839,1.1908,0.57326
0.80324,0.60102,0.053949
0.030834,1.0751,1.5971
0.68483,0.67079,1.6379
0.40473,0.66113,0.91941
0.024548,0.56382,0.61124
0.23502,0.0097478,1.6746
0.6755,1.0556,0.1413
0.86669,0.99682,0.99563
0.079592,0.24231,1.042
0.4205,0.35082,0.58984
0.68602,0.96654,1.5838
0.39988,0.7764,1.0003
0.4004,0.51543,1.702
0.1582,0.11764,0.31847
0.75863,0.02071,1.1671
0.77228,0.68111,1.4669
0.58482,0.79872,0.51894
0.66031,0.29512,1.7573
0.85429,0.2473,0.92983
0.87432,0.3821,1.0182
0.41247,0.46519,0.82774
0.23568,0.50406,0.30181
0.57736,1.0953,0.83956
0.70402,0.42629,1.7178
0.15119,1.152,1.7478
0.28466,0.41413,0.71574
0.89285,0.16254,0.58341
0.2283,0.30754,0.95218
0.66941,0.52961,0.65904
0.037811,0.62279,0.6133
0.44731,0.095856,0.4833
0.87543,0.11962,0.012267
0.21553,0.39637,0.89126
0.069634,1.165,0.78291
0.75741,0.56706,0.997
0.41265,0.087055,0.12835
0.25864,0.47747,0.67734
0.15851,0.7628,0.4862
0.31819,0.34395,1.6039
0.69988,0.46134,0.2689
0.87891,0.67605,1.5312
0.3735,0.25171,0.6983
0.47383,0.30992,0.95583
0.43732,1.0918,0.099911
